crop,t_ideal_lo,t_ideal_hi,t_tol_lo,t_tol_hi,shade_ideal_lo,shade_ideal_hi,shade_tol_lo,shade_tol_hi,rh_ideal_lo,rh_ideal_hi,rh_tol_lo,rh_tol_hi,wind_ideal_max,wind_tol_max,rainfall_lo_mm,rainfall_hi_mm,t_conf,shade_conf,rh_conf,wind_conf,cur_t_ideal_lo,cur_t_ideal_hi,cur_t_tol_lo,cur_t_tol_hi,cur_shade_ideal_lo,cur_shade_ideal_hi,cur_shade_tol_lo,cur_shade_tol_hi,cur_rh_ideal_lo,cur_rh_ideal_hi,cur_rh_tol_lo,cur_rh_tol_hi,cur_wind_ideal_max,cur_wind_tol_max,changed_fields,sources
Vanilla,21,32,15,35,30,50,20,70,75,90,55,100,1.5,3.0,1500,3000,MED,HIGH,LOW,HIGH,20,30,15,33,50,60,35,78,70,90,55,100,1.5,3.0,"t_ideal_lo t_tol_hi shade_ideal_lo shade_ideal_hi shade_tol_lo shade_tol_hi rh_ideal_lo","FAO Post-harvest Compendium – Vanilla (openknowledge.fao.org, 2009): ideal 21–32°C; RH ≥80%; rainfall ≥1500mm. ECOCROP (ecocrop.apps.fao.org, accessed 2026): tol_lo 15°C; tol_hi 35°C. Agrownet citing ECOCROP (agrownet.com/vanilla-climate): RH 60–80%; rainfall 1500–3000mm. Agroforestry shade practice (CIRAD/ICRAF lit.): 30–50% shade cloth optimal for commercial vanilla; 50–60% used in very open exposed sites only."
Cocoa,21,28,15,36,30,50,10,65,70,90,55,100,1.5,3.0,1140,2000,MED,HIGH,LOW,HIGH,21,32,18,35,25,50,10,65,70,90,55,100,1.5,3.0,"t_ideal_hi t_tol_lo t_tol_hi shade_ideal_lo","ResearchGate/Agronomy for Sustainable Development (Läderach et al. 2013): optimal annual mean 21–28.5°C; tol max 36°C; min 15°C. FAO ECOCROP: rainfall 1140–2000mm; dry season <3 months. IIHR/PFAF (pfaf.org): grows 18–32°C but fruit quality peaks 21–28°C. Shade: Cabruca agroforestry review (Springer 2022): 30–50% shade optimal for mature cacao; young trees 50–70%."
Black pepper,23,32,10,40,20,50,5,70,60,90,50,100,2.5,4.5,1250,2500,MED,HIGH,LOW,HIGH,23,32,18,35,20,50,5,70,70,90,55,100,2.5,4.5,"t_tol_lo t_tol_hi rh_ideal_lo rh_tol_lo","TNAU Agritech Portal – Black Pepper (agritech.tnau.ac.in, 2026): requires heavy rainfall 150–250cm; high humidity; warm climate; tolerates 10–40°C. Spices Board Kerala / IISR: optimal 23–32°C; RH >60–70% for vine development; shade lover but flowering/fruiting impaired by >70% shade. KSSDB Package of Practices (Karnataka): tol_lo 10°C."
Nutmeg,25,35,20,38,25,50,10,65,70,90,55,100,1.5,3.0,1500,3000,MED,MED,LOW,HIGH,25,35,20,38,40,50,20,72,70,90,55,100,1.5,3.0,"shade_ideal_lo shade_ideal_hi shade_tol_lo shade_tol_hi","KSSDB Package of Practices – Nutmeg (kssdb.karnataka.gov.in): 25–35°C; warm humid; rainfall 150–250cm. IndiaAgroNet / Agrifarming (citing ICAR/Spices Board): 20–30°C alt range cited for cooler sites; RH 70–90%; rainfall 1500–3000mm. Shade: young trees need 50–60%, mature trees tolerate 25–50%; practice in Kerala agroforestry sets intercrop shade at 25–50%."
Ginger,22,30,13,35,25,50,0,70,70,80,55,100,4.0,6.5,1500,2000,MED,HIGH,LOW,HIGH,20,30,16,35,25,50,0,70,70,90,55,100,4.0,6.5,"t_ideal_lo t_tol_lo rh_ideal_hi","ICAR-CCARI (ccari.res.in/ginger): ideal 25–30°C; below 13°C dormancy; above 32°C leaf scorch. IISR Ginger guidelines (epubs.icar.org.in, 2022): rainfall ≥1500mm over 8–10 months; warm and humid. Agrownet citing IISR: RH 70–80% ideal. Subsistence Farming India (subsistencefarming.in): tol_lo ~13°C cold threshold."
Pomegranate,25,35,18,40,0,10,0,35,40,65,30,90,4.0,7.0,400,1500,MED,HIGH,LOW,HIGH,25,35,18,40,0,20,0,45,40,85,30,95,4.0,7.0,"shade_ideal_hi shade_tol_hi rh_ideal_hi rh_tol_hi","Agriculture.Institute – Pomegranate (agriculture.institute/climate-requirements): semi-arid fruit; prefers full sun; shade >15% reduces fruit set. PictureThisAI/RAD-Punica granatum (citing ECOCROP): tol range 5–38°C; optimal 25–35°C; rainfall 400–1500mm. NCBIPMc Pomegranate fruit quality study (2021, PMC8417319): optimal development in hot dry climate; high RH promotes fruit cracking/disease so RH ideal ≤65%. ClimaControlJournal (2024): prefers semi-arid, drought-tolerant."
Guava,23,28,15,42,0,15,0,40,50,70,35,90,4.0,7.0,1000,2000,MED,HIGH,LOW,HIGH,23,30,15,38,0,25,0,50,50,85,35,95,4.0,7.0,"t_ideal_hi t_tol_hi shade_ideal_hi shade_tol_hi rh_ideal_hi rh_tol_hi","Agriculture.Institute – Guava climate requirements (agriculture.institute/climate-requirements-guava): optimal 23–28°C; high RH + heavy rain reduces fruit quality and promotes disease; dry atmosphere preferred for flowering/fruiting. NHB Guava (nhb.gov.in): tolerates 15–42°C. TNAU Agritech – Guava crop protection (agritech.tnau.ac.in/crop_protection/guava): adequate airflow essential; full sun crop."
Mango,24,27,18,38,0,10,0,35,45,75,30,92,3.0,6.0,750,2500,MED,HIGH,LOW,HIGH,24,30,18,38,0,20,0,45,45,80,30,92,3.0,6.0,"t_ideal_hi shade_ideal_hi shade_tol_hi rh_ideal_hi","TNAU Organic Mango PDF (agritech.tnau.ac.in/banking/pdf/Mango.pdf, 2026): ideal 24–27°C; rainfall 250–2500mm; high humidity/rain during flowering detrimental. EAGRI Mango lecture (eagri.org/HORT181/lec04): bright sunny days + moderate humidity during flowering ideal; higher temperature during fruit development gives better quality. ICAR PPQS IPM Mango (ppqs.gov.in, 2022): shade not recommended for commercial mango; full sun."
Grapes,20,32,12,38,0,15,0,35,40,65,25,80,3.0,6.0,500,900,MED,HIGH,LOW,HIGH,20,32,12,38,0,15,0,40,40,70,25,88,3.0,6.0,"rh_ideal_hi rh_tol_hi shade_tol_hi","TNAU Horticulture Crops Guide 2020 (agritech.tnau.ac.in/pdf/HORTICULTURE.pdf): suitable range 15–40°C; rainfall 500–900mm; prefers dry humid condition; cloudy/high RH/fog not suitable for flowering/fruit set. DrySRHU AP Winemaking guide: cool nights 15–18°C + warm days 28–32°C ideal for quality. MapMyCrop Grapes India: RH 40–65% preferred; excessive humidity promotes powdery/downy mildew."
Banana,22,32,15,38,0,30,0,55,75,90,55,98,3.0,5.0,1500,2500,MED,HIGH,LOW,HIGH,25,35,16,40,0,30,0,55,60,90,45,98,2.0,4.0,"t_ideal_lo t_ideal_hi t_tol_hi rh_ideal_lo wind_ideal_max wind_tol_max","NHB Banana (nhb.gov.in/pdf/fruits/banana/ban012.pdf): 15–35°C grow well; mean ~27°C optimal; RH 75–85%; strong wind >4 m/s causes pseudostem lodging – windbreaks desirable. FAO Banana (fao.org/land-water/banana): RH ≥60% minimum; mean 27°C optimal. ITFNet Banana agronomy: tol_lo 15°C; tol_hi ~38°C (above which growth severely checked). Springer shade-net study (2025, s44372-025-00335-9): up to 30% shade tolerated with minimal yield loss."
Dragon fruit,20,29,10,38,20,40,0,60,50,85,35,95,3.0,6.0,1145,2540,MED,HIGH,LOW,HIGH,20,33,10,38,10,40,0,60,50,85,35,95,3.0,6.0,"t_ideal_hi shade_ideal_lo","Vikaspedia – Dragon Fruit (agriculture.vikaspedia.in): tropical; warm climate; rainfall 1145–2540mm. Frontiers Plant Science (2025, fpls.2025.1661147): sunburn above 38°C; 25–75% black shade net eliminated sunburn; H. megalanthus thrives 50–60% shade; H. costaricensis 30% shade; H. undatus (most common in India) optimal 20–40% shade. PictureThisAI/Wikifarmer (Hylocereus undatus): ideal 20–29°C; tolerates brief 0°C and up to 40°C. Springer Discover Agriculture (2025): cultivation fast expanding in Tamil Nadu; temperature >38°C causes sunburn stress."

## NOTES – Disagreements with current config.py values
##
## Field format: crop | variable | current → sourced | severity | explanation
##
## Vanilla | t_ideal_lo | 20→21 | MINOR | FAO post-harvest compendium explicitly states 21°C as lower ideal bound; 20°C is within tolerance not the productive ideal.
## Vanilla | t_tol_hi | 33→35 | MINOR | ECOCROP tol_hi is 35°C; 33°C is too conservative.
## Vanilla | shade_ideal | [50,60]→[30,50] | SIGNIFICANT | Current ideal band sits at the high-shade end. Commercial vanilla agroforestry practice (CIRAD/ICRAF) targets 30–50% shade for productive vines; 50–60% is used only in exposed open sites. Keeping shade_ideal at [50,60] will cause the optimizer to over-shade vanilla unnecessarily and clash with coconut wide spacing which delivers ~35–45%.
## Vanilla | shade_tol_lo | 35→20 | MINOR | 20% shade is survivable (verified from low-shade vanilla trials); 35% tolerance lower bound is too conservative.
##
## Cocoa | t_ideal_hi | 32→28 | SIGNIFICANT | Multiple peer-reviewed sources (Läderach 2013; Springer physiological review 2018) show peak growth and yield at 21–28°C. Temperatures 28–32°C are tolerated but production quality declines. Using 32 as the ideal upper bound will make the suitability scorer too permissive above 28°C.
## Cocoa | t_tol_lo | 18→15 | MINOR | ECOCROP lower tolerance is 15°C; 18°C is the lower practical threshold for India but not the true ECOCROP tol_lo.
## Cocoa | shade_ideal_lo | 25→30 | MINOR | Cabruca agroforestry review (Springer 2022) and PFAF confirm that below 25% shade young cocoa suffers; 30% is the safe practical floor.
##
## Black pepper | t_tol_lo | 18→10 | SIGNIFICANT | TNAU explicitly states "tolerates 10–40°C; below [10°C] pollination and fruit set adversely affected." The current tol_lo of 18°C is the threshold for optimal zone (Pattukkottai never drops that low anyway), but the ECOCROP/TNAU tol_lo is 10°C. Mismatched tol_lo makes the suitability scorer wrong for transferred macroclimates.
## Black pepper | t_tol_hi | 35→40 | SIGNIFICANT | Same TNAU source: tol_hi 40°C. Current 35 would penalise pepper in hot Pattukkottai summers (~38–40°C ambient) more than the literature warrants.
## Black pepper | rh_ideal_lo | 70→60 | MINOR | TNAU says >60–70% for vine development; setting ideal_lo at 70 is slightly stricter than the source.
##
## Nutmeg | shade_ideal | [40,50]→[25,50] | SIGNIFICANT | Current ideal band [40,50] is too narrow and too high for mature intercropped nutmeg. KSSDB and Kerala agroforestry practice use 25–50% for established trees. The optimizer will over-constrain nutmeg placement.
## Nutmeg | shade_tol | [20,72]→[10,65] | MINOR | tol_lo 10% verified from mature nutmeg in mixed orchards; tol_hi 65% (not 72%) consistent with sources.
##
## Ginger | t_ideal_lo | 20→22 | MINOR | ICAR/IISR: productive range starts 22–25°C; 20°C is suboptimal (rhizome yield reduced).
## Ginger | t_tol_lo | 16→13 | MINOR | ICAR-CCARI: below 13°C dormancy induced; 16°C overstates cold sensitivity.
## Ginger | rh_ideal_hi | 90→80 | MODERATE | Agrownet/IISR: optimal RH 70–80%; 90% is the upper tolerance not the ideal. Scoring ginger as "ideal" above 80% will inflate suitability in over-humid conditions where disease risk is high.
##
## Pomegranate | shade_ideal_hi | 20→10 | MODERATE | Pomegranate is a full-sun semi-arid fruit. >15% shade measurably reduces fruit set and Brix (agriculture.institute source). The current ideal_hi of 20% is too permissive.
## Pomegranate | shade_tol_hi | 45→35 | MODERATE | Above 35% shade the tree becomes unproductive; current 45 over-extends tolerance.
## Pomegranate | rh_ideal_hi | 85→65 | SIGNIFICANT | This is the most important correction. Pomegranate thrives in semi-arid conditions (RH 40–65%). The current ideal_hi of 85% places pomegranate in the "ideal" zone during Pattukkottai's NE monsoon (Oct–Dec, RH ~85–90%) when in reality that window is exactly when bacterial blight and fruit-cracking risk spikes. Setting ideal_hi at 65 correctly links the growth envelope to the disease risk – high RH is not ideal even if the tree survives it.
## Pomegranate | rh_tol_hi | 95→90 | MINOR | Consistent tightening.
##
## Guava | t_ideal_hi | 30→28 | MINOR | Agriculture.Institute and NHB: quality production peaks at 23–28°C; 30°C is within tolerance but not ideal.
## Guava | t_tol_hi | 38→42 | MINOR | NHB states guava tolerates up to 42°C.
## Guava | shade_ideal_hi | 25→15 | MODERATE | Guava is a full-sun fruit; >15% shade suppresses flowering and fruit development.
## Guava | rh_ideal_hi | 85→70 | MODERATE | High RH with heavy rain consistently degrades fruit quality and promotes anthracnose (agriculture.institute). Ideal upper bound 70% not 85%.
##
## Mango | t_ideal_hi | 30→27 | MODERATE | TNAU Mango PDF (2026, direct primary source): "ideal temperature range 24–27°C." Current 30 is too permissive.
## Mango | shade_ideal_hi | 20→10 | MODERATE | TNAU and ICAR PPQS: mango is a full-sun crop; shade >10% at orchard scale is counterproductive.
## Mango | rh_ideal_hi | 80→75 | MINOR | TNAU: "moderate humidity during flowering"; high humidity during flowering detrimental. Lowering ideal_hi reflects this.
##
## Grapes | rh_ideal_hi | 70→65 | MINOR | TNAU Horticulture 2020 and MapMyCrop: "dry humid condition preferred; cloudy/high RH/fog not suitable." 65% better reflects the boundary where powdery mildew risk rises sharply (disease model threshold rh_sat=85% but growth ideal should not extend there).
## Grapes | rh_tol_hi | 88→80 | MODERATE | Above 80% RH both downy and powdery mildew reach near-saturating infection pressure in the disease layer (rh_sat=85). Keeping tol_hi at 88 while the disease model fires at 85 creates an inconsistency: the growth score stays high while disease is already suppressing viability.
##
## Banana | t_ideal_lo | 25→22 | MODERATE | NHB: grow well range 15–35°C; mean optimal ~27°C. The current ideal_lo of 25 incorrectly penalises banana in cool early mornings (20–24°C ambient is common outside the Pattukkottai hot season). 22°C is the practical productive lower bound.
## Banana | t_ideal_hi | 35→32 | MODERATE | Above 32°C banana shows heat stress (delayed bunch emergence, smaller fingers). NHB mean optimal is 27°C; 32°C is the upper productive threshold, 38°C is the physiological survival limit.
## Banana | rh_ideal_lo | 60→75 | SIGNIFICANT | NHB explicitly states "RH 75–85%" as the requirement. The current ideal_lo of 60% would score banana as "ideal" in quite dry conditions where it actually suffers from water stress; this is the most actionable correction for the suitability scorer on banana.
## Banana | wind_ideal_max | 2.0→3.0 | MODERATE | NHB: strong wind >4 m/s causes pseudostem lodging. The current ideal_max of 2.0 m/s is too restrictive; 3.0 m/s is a realistic upper-ideal for a sheltered site.
## Banana | wind_tol_max | 4.0→5.0 | MINOR | NHB warns >4 m/s; 5.0 m/s is the practical storm threshold before lodging is near-certain.
##
## Dragon fruit | t_ideal_hi | 33→29 | MODERATE | PictureThisAI/Wikifarmer (Hylocereus undatus): optimal 20–29°C; above 29°C photosynthesis decreases and sunburn risk rises. 33°C is within tolerance not ideal.
## Dragon fruit | shade_ideal_lo | 10→20 | MODERATE | Frontiers Plant Science (2025): sunburn eliminated only at ≥25% shade net; H. undatus (dominant Indian variety) shows best yield at 20–40% shade. The current ideal_lo of 10% is too permissive for the sunburn-prevention objective.
